Jessie,8,9
Tigre,1,3
Lily,2,4
Busco,9,8
Splash,10,9
Peach,7,8
Luna,12,11
Baby,6,7
Boby,4,6
Cinnamon,14,16
Nightlight,3,4
Eclipse,11,14
Firebolt,9,8
Ruby,12,13
Milly,4,5
Crazy,6,7
Alizay,2,1
Maisie,7,8
Kelty,5,4
Gumby,1,3
Nash,11,12
Rona,18,19
Edge,10,9
Nightcore,15,16
Sundance,7,8
Sammie,14,15
Noble feet,6,5
Powder,13,14
Jacob,5,6
Raindrop,19,20
Jag,8,7
Penny,17,18
Harry Potter,16,17
Applause,10,9
Banchiere,6,7
Blue Point,2,3
The Lion,6,7
Wind,12,11
Boss,14,15
Kindom,5,6
Death,8,9
Simon,19,20
Nickole,20,21
May,12,13
Tom,5,6
Ace    ,9,10
Molly,10,9
Ellen,12,13
Abby,7,8
Mark,6,7
Candle Stick,10,8
Tango,11,11
Lord Voldermort,13,13
Chicken,5,8
Lilly,23,21
Ron Weasley,22,21
Hermione,15,14
Dumbledore,28,27
Severus Snape,2,3
Rubeus Hagrid,12,14
Draco Malfoy,13,13
Sirius Black,4,5
Digger,16,17
Starr,10,11
Bullet,4,5
Neon,6,4
Hola,7,8
Kip,14,15
Descaro,17,16
Power,11,10
acceleration,2,1
Bonk,1,2
Scout,8,9
Soldier,3,4
Pyro,13,14
Demoman,9,10
Heavy,15,14
Engineer,5,4
Medic,18,17
Sniper,5,4
Spy,7,8
